p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.0725394653324e-57	2.19975515560796	0.255	0.171	2.73540465238376e-53	2	KMT2E-AS1
2.3703546186395e-57	0.503517947335113	0.122	0.285	6.04535241937818e-53	2	CRK
2.49402710957251e-57	0.475486710534884	0.111	0.267	6.36076674025374e-53	2	LMBRD1
2.66921596133919e-57	0.349180483863002	0.11	0.263	6.80756838779948e-53	2	BCL10
3.06785272676174e-57	0.410817887067518	0.11	0.264	7.82425159433313e-53	2	NTMT1
3.50582184893535e-57	0.4463154492586	0.146	0.324	8.94124804352471e-53	2	HSF1
4.04790385033733e-57	0.517129121572112	0.166	0.359	1.03237739799003e-52	2	SND1
4.12763278969362e-57	0.350921037467342	0.11	0.264	1.05271146668346e-52	2	ARHGAP5
5.68787055289837e-57	0.543051820656348	0.113	0.269	1.4506345058112e-52	2	TARS
8.36182369074054e-57	1.49764960210713	0.41	0.362	2.13259951408647e-52	2	ERN2
1.30079926703788e-56	0.416063649549073	0.113	0.267	3.31755845065341e-52	2	XPO1
1.32186788940007e-56	0.524919298608342	0.123	0.285	3.37129186512593e-52	2	MGAT1
2.46569239338119e-56	0.458837725959809	0.113	0.267	6.28850188007939e-52	2	NSRP1
4.13052765606487e-56	0.370068707154575	0.136	0.305	1.05344977340278e-51	2	EFCAB14
4.75523180465273e-56	0.366307435437374	0.125	0.287	1.21277431945863e-51	2	RRP7A
4.81798728294935e-56	0.551207948861694	0.122	0.282	1.2287794766434e-51	2	ARIH2
5.70794618830412e-56	0.509085951215817	0.119	0.277	1.45575459586508e-51	2	SMARCC1
6.03974656394779e-56	0.401165150483326	0.166	0.356	1.54037696366924e-51	2	VPS51
6.86883397480684e-56	0.265875236295814	0.173	0.36	1.75182741693474e-51	2	YPEL5
8.53289830046368e-56	0.438652048761426	0.103	0.251	2.17623038255026e-51	2	GPR108
9.19958541695461e-56	0.508452208024156	0.149	0.326	2.3462622647401e-51	2	WAC
1.2989537100457e-55	0.440742476073919	0.105	0.254	3.31285154210055e-51	2	GPBP1L1
1.89935537956551e-55	0.61093731736098	0.113	0.267	4.84411596004387e-51	2	SECISBP2
2.02911500884243e-55	0.445596598534924	0.133	0.299	5.17505491855173e-51	2	GMPPA
2.05575789776042e-55	0.445836969848932	0.125	0.285	5.24300494244818e-51	2	SLC25A36
2.9806266138622e-55	1.22301327195568	0.538	0.579	7.60179011599416e-51	2	ACTN4
3.19775279010725e-55	0.505810654574698	0.111	0.264	8.15554871588952e-51	2	HSPBP1
3.3651100941569e-55	0.255396153655987	0.117	0.27	8.58237678413777e-51	2	STX12
4.56057129910868e-55	0.451907668229491	0.149	0.326	1.16312810412468e-50	2	SHARPIN
8.3974051295648e-55	0.381049158615728	0.206	0.417	2.14167420424421e-50	2	HSPA9
8.52344695610595e-55	0.330210893059055	0.222	0.445	2.17381991168526e-50	2	RAB10
8.93458419298598e-55	0.512967346236192	0.141	0.313	2.27867635257914e-50	2	GLG1
9.46843697681352e-55	0.345534396823021	0.228	0.455	2.41483016656652e-50	2	RNH1
9.53652881665964e-55	0.396357073455663	0.131	0.293	2.43219630940088e-50	2	WDR34
1.03605406367059e-54	0.480600827496317	0.142	0.313	2.64235228398546e-50	2	RAB5A
1.56319458378138e-54	0.578050788497968	0.118	0.274	3.98677146647603e-50	2	WDR33
2.03429520886484e-54	0.379062871479054	0.107	0.254	5.18826650068888e-50	2	NAA60
